Comments,Nostalgic
"For a 10 year old living in Detroit,this was only version I knew since I only had access to AM radio and the othet versions didnt get the AM airplay.I love em all but this is the best version.So smooth for such an message being told",Yes
they leave out the best part - made of million year old carbon - caught in the devil's bargin,No
"Great song, the pedal steel guitar really makes it special",No
This song transports me back to a simpler more wonderful time.,Yes
Beautiful Song from great years 1969,Yes
"This is when I fell in love with pedal steel guitar ... courtesy of the late, great Gordon Huntley featured here ....",No
"This bought back memories, never got to Woodstock but went to the Isle of White one.  Hippy's for ever.",Yes
In the very last picture in this video he looks like Norman Bates in the very last scene of Psycho.,No
Brings back memories,Yes
This music set is one of my favorites. Old and new. Nice job.,No
Whose daughter did he marry ?,No
Can't believe this was number 1 in 1970. 1970! Really? It sounds like it could be placed in 1977 or 1978. It really was years ahead of its time.,No
I learned about this song because my dad played it on guitar. I grew up to my dad playing this.,No
Always liked this one,No
This makes me cry its so beautiful,No
This was Number 1 in the Official UK Singles Chart on the day I was born.,Yes
My grandad loved this song,No
miss my grandad :(,Yes
Thanks Clive. Good memories of my childhood. Anyway. my friend. don't panic! Peace.,Yes
It very good it all about grandad,No
"this i bought for my grandad when i was young and it still brings a tear to my eye , he was the best RIP my dear grandad",Yes
I loved this song when I was younger. I was nearly 10 years old when this came out. thanks for the memories.,Yes
"This song reminds me of childhood, on a 45 single, played on my dads record player.",Yes
thats my grandad,No
good old song,No
I sang this to the greatest man to be in my life. My grandad,No
Reminds me of my Granddad who died 26 years ago,Yes
It sounded like back in his time was better when phones and sitting behind a computer wasn't even invented as a job,Yes
This song is very beautiful...i love this song,No
I am lucky enough to have an original copy of this record and worship the record and sentiment. Know  you are in a better place George.,No
My aunt is a fervent catholic and loves to hear me playing this song in a cold rainy afternoon.,No
"If this song doesn't uplift your spirit, then you have no soul.. This type of song is what's missing in today's society.",No
"Wonderful song, which I remember since I was a child (now I am 50 years old). If I'm not wrong, the song is mainly focused on the concept of 'God' and its presence ",Yes
This was played at my Dad's funeral,Yes
One of the best songs in history,No
Brings me back to high school.,Yes
"George Harrison, the man we never deserved, but our sweet Lord blessed us with him anyhow. Becuase He has a plan!",Yes
"I came here because this song was in his documentary ""Living in the Material World""  and its just beautiful. Rest in Paradise George. Thanks for blessing us with your talent. The world will never forget you.",No
"oh my my, this song is just too much, justo incredible.....specially significant since l am going through an intense process of wanting and wishing desperately and urgently to see Him, to be with Him, to hear from Him, to be like Him, to love HIM as He loves all His children....from chile, with sincere gratitude for this wonderful and inspiring song...",No
"This song was number 1 in the charts when my Girlfriend was born. That's not the reason why I like this song though, it is just a really good song, shame they don't make music like this now.",Yes
Herd this live in 71.the girls in the crowd went wild loads of them fainting . this man wrote symphonies . RI.P,Yes
I was 13 when this song came out . one of my all time favourites,Yes
"My sister bought this record when it was as hit. I never liked it much, but The King of the Mountain Cometh, one of two songs on the flip side, made me a life-long fan of the Bopping Elf.",Yes
best time in my live,Yes
Brilliant when I was 13...still brilliant now I'm 59....immortal talent.,Yes
Love this song ...Marc Bolan was unique...great song writer....excellent post.,No
CLASSIC TUNE WRITTEN BY A GENIUS,No
"I haven't heard this song for a very long time! I prefer this music than the songs that are played today like one direction & Justin Bieber, Certainly brings back memories listening to the songs from the 70's.",Yes
Love his voice. It makes me smile as though I'm in on a prank that nobody else knows about. Makes me feel mischievous and giggly.,No
This song brings back WONDERFUL memories.,Yes
wrong cover it wasn't on electric warrior,Yes
From the Summer of 1971...,No
"Used to love this song back in the day, and it came out years before reggae became popular.",Yes
Reminds me of when my mum was drunk when i was younger,Yes
So glad I live in a time where I get to enjoy amazing music from well before I was born as well as the great stuff being made by my generation! So much to explore! Where are the naughties kids at,Yes
Love this still makes me want to move around and have a good dance even at my age of 72 takes me back   to good times have this in my loft with many other's,Yes
One of my all time favourites. Thanks for posting.,No
takes me back to my skinhead days !,Yes
Memories--------Was it really that long ago??!!,Yes
brings back great memories of when we were skins. sad as alot of the gang have passed on.but the music will live on.,Yes
I'm 10 and i love this song so much,No
Brings back memories of owning a lambretta and hanging out with my Mod mates.,Yes
"Holy shit! I just found this after all these decades, and never forgot this song!",No
I remember my Dad playing this all of the time. Great memories. Rest easy Dad.....,Yes
"I'm 15 again, and having my head shaved for the first time, take me back",Yes
"My parents used to have Saturday night house parties, it was rool out the bottles of  ""babycham"", ""Cherry bee"", bottles of  Guiness and this classic song always got played by the DJ, how can I forget Double barrell ?  I was 9 years old in 1971.",Yes
So many happy memories of youth. Thank you guys xxx,Yes
"I remember my mom singing this in the 70's. Love you mom, enjoy the music!",Yes
It's time to relax sounds  trip its raining outside....,No
"Now if only I can find an outfit to match this song, I'm good to go lol",No
My daughter and I would dance and sing to this then use the broom to knock on the ceiling with it!!! I love this song so much ever since I was a little girl!!! Thank you!!,Yes
this is a beautiful song and it nice cool song to dance to or if you are in love with someone,No
This is great music! The music from now a days that is created for the youth is so horrible... hope they can join this music with me!,Yes
I remember this song because of my father he really love singing with guitar.Thats why I really love music too..,Yes
Many good memories  with this song as well growing! Enjoyed watching  their  show.,Yes
The song is soooo good. What great lyrics and music!,No
"I am only 11 and I am in love with this song I ask all my friends ""do you like 90,80,70s music"" they said no",No
it is my birthday at that time wish me wish me,No
she lives beside me and still a good singer keep up gd work,No
"Im 15 years old and only listening to this because my grandmother and grandfather told me that they used to sing it to my mom when she was a baby , it made my mom cry when she was little I was shocked that they would do something like that !",Yes
"I came here because of the x factor, anyone else? This video where Cheryls face looked like smoking hot and now this song reminds me Cheryl help",No
"I wanted to sing this to my now two years old sister one year ago, but now I got my first voice break or how its called so my voice is deeper and i cant sing that now",No
Cant believe this was my childhood song My mum used to sing it to me when I was little now I'm 12 and its still one of my favourite songs and she still sings it to me,Yes
Who's watching in 2017,No
Playing this at my grandpa's funeral,No
Love this song,No
Me and my mom listen to this in the kitchen and in the car now I am 11 and I still love this song it is the best song ever,No
"i actually woke up thinking of this song , my mum always use to sing this song and now i do :)",No
That's my favourite song.Ilove it,No
goood old days! will they ever come back!!,Yes
i heard this song and it had me singing it for a month!,No
I heard this in Israel in 1972.  Has remained in my head all these years!!! An addictive song,Yes
So great but always listened to with a tinge of sadness,No
I remember this song!!!  The boy next door use to call me on the phone. Get ready open your windows!! He played for the whole neighborhood. He was the neighborhood DJ back in the day. Thank You Jeff Moore what a friend!! RIP buddy.,Yes
1985 baby here. Can you imagine how this burned up the radio back then?? Back when they only played like 5 songs total?? T rex must have dominated. It's still good!!,Yes
I was young when this was released and it blew my mind.,Yes
No this is THE sexiest song ever made,No
Headed somehere that drinking will take me lol,No
T.REX were the greatest band of the early 70s and Bolan was a genius! Wow the records were monumental and Electric Warrior was and is one of the great classic albums.What memories of when I was 16 and his music!,Yes
Love this he sings it so seductively cool for that time,No
The sisters from the Black Panthers turn me on to rhis Song.,No
died to young so much more to give us,No
"60s, 70s, 80's & 90s music were by far the best decades for music. Its not the same anymore. Glad I was a part of it all.",Yes
They look a little light in the loafers! But good tune!,No
If I was in the UFC this would be my Walk out Music,No
Die so young!,No
"wehn you are 14 and this song come on the radio  for the first time, well, let's just say, that you have no idea what it was like back in the 70's.",Yes
"Every generation thinks their music is the best, & I should know, because i was born in 57,and the 60's & early 70's were the best, at least for me.",Yes
My favorite musician and dinosaur!,No
"We luv u soo much Diana,,,,,, U are incredible & super beautiful",No
That was staged. She walk over to this dude and wipe his sweat away and he throws up the three sixes I no a setup when I see one.,No
one of my favorite moments of ms ross,No
Where is I am going to love you a little bit more,No
I'll be waiting Diana Ross you can truly see the performance in Miss Diana Ross and she intervenes with the audience in the manner overwhelmed by her presence and the truly gifted mother she is she even wipes sweat of one of the gentleman overwhelmed by her presents I truly gift the one and only miss Ross at her best.,No
Me dads favourite... Miss you x,No
"She received her Lifetime Achievement grammy in 2012 the day before the ceremony, then presented album of the year at the ceremony.",No
This is AWESOME - there is nothing better than when she goes into the crowd.  I remember her walking right up to me and my little sister once - we were AMAZED and inspired.  Forever my SHEro :),Yes
I was there at that concert.....one of the best live performances i ever saw and i saw all the great stars. Diana Ross is one of the beste female singers of all time.,Yes
"Oh, my goodness d this song takes me back to my younger days dancing in a disco. Still sounds and feels so good though I am not in a disco now LOL",No
Wow what a song and don't you love the outfits sensational. Back up singer 2 must be a ring in....That aside this music resonates so clearly over the years hard to beat.,No
Another great song & great memories.,Yes
"Heard this on the radio today, and it brought back some great memories, what a great song, BUT where did they get the outfits",Yes
this really takes me back to happy times........magic!!!!   xxxx,Yes
"My mum used to blast this out and like all kids I hated it.its only when you grow up and taste life,what a classic.times change though I just can't seem to get my kids to like it ha",Yes
Someone like you makes it hard to live without somebody else.,No
"Even though i am almost 60 now,  i still look to find a reason to believe that i will find a woman that will make it hard to live without.",No
if this does not touch your heart you don't have one,No
"I bought this 45 46 years ago. I was disappointed that the song wasn't a bigger hit. Then Maggie May went to number one, and I was surprised to find it on the B side of this record.",No
One of my favorite albums. I bought this album in 1972. I loaned it to a friend in '75 and never got it back!  I knew all the songs by heart. Love it!,Yes
don't we always look for a reason to believe.,No
This song reminds me of my childhood. Always remember my mom and dad playing this at back yard parties. Oh how I miss the good ol' days. Thanks for this.,Yes
I always played this over Maggie,No
One of the best songs and that voice is out of this word,No
"This is one of the greatest hits of Dr. Hook.  I was in College when this song first came, and I love it since then.",Yes
You have no idea or taste then. And void of feeling!,No
what do want me to lie to you lie to me Dorthy,No
The main person to watch is her. They Freakin sneaky!,No
Brings me back...,No
I love this song.,No
My husband says this is my song awww he's so sweet,No
"Do I have a problem with being 12 years old and listening to this?

",No
For a young person I have to say I love this song,No
Remember kicking L.C's ass in Ajax's flashback mission in the warriors on PS2 while this song played elegantly in the background lol,Yes
"My grandparents were on their deathbed together when this song was number one in the charts.They sang it to each other as they faded into unconsciousness and died at exactly the same time, the next day the song fell from it's number one spot and started its descent down the charts.I feel like my grandparents caused this song to stop being number one.",Yes
a song that will live forevet,No
"learnt this song in school, 6th form",No
"forget her name , it's the words that are what it's about !",No
This song was at my grandads funeral but I love this song tho she has such a good voice,Yes
I was a teenager at the time and was thrilled nby the song. I remember it was number one hit in Radio Luxembourg for a long long time.,Yes
"top qualitity, whats happening now,not been seen lately!",No
What a voice ! Thank for posting.,No
"my how she has changed , comes by my work almost every day",No
"great song she is a legend, heard this song as a kid",No
"Always feel uplifted when hear this song. Lena is a great singer. 
",No
"My birthday song also on FB, had 2 check it out cos i had neva heard of it!!!",No
i remember singing this all the time when i was about three!!! still brilliant!!!,No
WTF are you watching it for then??,No
Greatest Singer ever !!!!!!!!!,No
"If anyone out there is an empath of any kind, there was something about this man's spirit that was very good.  I just loved him but was not a big fan, maybe because was a tot when he was first famous.",No
"Yes,he was way down in his spirit when he made this one. Sad and ironic really",No
"I cannot stop listening to this song, someone send help.",No
40 years since past and everyone listening  to king thank God xxxx,Yes
we all seem to remember where we were on the 16th August 1977 it was exactly the same as John Lennon they were both too young to die and people are left won drink how or why these can happen we are all candles blowing in the wind,Yes
I really love this song,No
Is this his actual last single or was it moody blue because I'm confused,No
"This song was No.1 was number the day I was born apparently, after he died.",Yes
he adapted...but he stayed true to�his music and musical loves.I think so at least lol,No
Is it just me or can you hear that Elvis is kinda sick in this recording? Sounds like his nose is a little plugged.,No
This takes me to the year i met my good lady . Still love this song but i love her more .,Yes
"I was born in 1970, and David & Barry Gibb taught buttons on a shirt are optional when you're out looking for your Silver Lady !",Yes
I'm here because it's a great song 40 years on,Yes
I've loved this song since I was little! I was 4 when it was number 1 in 1977! :D,Yes
"Good times, good music",No
"Wow,,today,i watched a movie,,,and i Listened this hit!!! I listened this song when i was 16 years old     40 years!!! and sounds incredible.!! I remember Starsky&Hutch Tv series.....amazing....amazing!!  Analog music,,,,what a difference!!",Yes
In 1977...I was completing year 10 at Miami High School...Australia. Light years away from today.,No
Brings back a lot of memories from the era it was composed...another great hit.,Yes
"A different time, a different place and the best of times.",No
this was played at my stepmams funeral two weeks ago,No
my mum and her bestfriend used to have all his music they loved him,No
"loved the 70ts BRING BACK THE 70ts life is to fast now, chilled to bone",Yes
"So many childhood memories of this track and era, especially Starsky and Hutch ( my fav series) thanks for the posting.",Yes
I'm 18 years old. This should not be my favourite song but it is. Fuck this new shit mostly past 1990 sucks,No
Memories from the 70s,Yes
"Reminds me of my childhood, my mother listening to the radio on a sunny afternoon in Kent.",Yes
"2 hours late, starving and bursting for a pee I arrived here on a national express coach.",No
National Express brought me here,No
Omg I love this song at the moment it was my aunties fault she started to get into this as it was a song on an advert and she down loaded it to her phine and she played it me as it reminds her of her auntie so yeah I TOTALY LOVE THIS SONG xxxx,Yes
Thanks for Filth movie where i discovered this beautiful artist and song!,No
Awesome song from awesome times,No
Awesome song. Made me happy.,No
always playing the Games,No
"Oh my god, this is awesome.",No
"Takes me back to comprehensive school, the mid-70's :)",Yes
agreed !! the poor mans david soul !!,No
15 years old and love this song :),No
Brings back memories this. Great song.,Yes
great memories great music.,Yes
I was 10 and can still remember it.  Some very good memories...,Yes
Fantastic song. I was 11 when this was released and remember my mate's mum was in love with David Soul (and Elvis)! Brings back some great memories from the mid 70's.,Yes
great song from 77!!!!!!,No
Always liked David Soul; one of the good guys!,No
"Wow, it's a good song!",No
this takes me back to the 70ties,Yes
"Fantastic memories. Probably my fave song, of all time.",Yes
I don't know how much more shit a group could be.,No
Whenever I hear this song it always reminds me of hearing it at funfair on the waltzers  or bumper cars  as as a child,Yes
Can't believe adults could act like this,No
AWESOME!  Absolutely loved this band.,No
"Haha I remember my dad having a pair of those glasses, he looked a right� Feel ready to take on the day now with those tiger feet come on, got to admit that this is a fun song and if this doesn't lift you then nothing's going to",Yes
"God, I remember doing this dance in the 70s, great times.",Yes
This song should be everywear,No
"Awesome intro, best ever song",No
song was number 1 the year I was born,No
"Whenever you're depressed and pissed off, just play this video and you'll feel better.",No
"So what im 63 and remember first time I heard it on radio 1 back in the 70s , fuckin brilliant. Radio 1 today plays a load of shit, like the music it plays- if you can call it music. Pop crap it should called now !!!!",Yes
what brilliant music and great band,No
"Two men should just never dance like that together
",No
Great song. Lets all get our tiger feet on :),No
How many of us remember this classic.,Yes
"Bring  back  the  70s,  We  need   you.  xxxx",Yes
"this was number 1 in UK charts on day I was born 29th January 1974.
",Yes
You cannot listen to this without tapping your feet .,No
takes you back to the good ol days when woman were woman & men were hard to tell.,Yes
I could never understand why the lead guitarist dressed like a girl.,No
fantastic....how'd i miss these guys... i guess being in america at the time.. damn...brit at heart,No
Happy memories,Yes
Wonderful memories.  The world was a nicer place then.,Yes
I remember this song. It was a Top 10 Hit here in Germany in 1974.,Yes
"love mud . I'm 60 this year, I can still do the dance. I loved the 70s, Marc  mott the hoople etc etc",Yes
im 46 and bring back brill mermories,Yes
I am 64 and mud still make me smile.,No
I'm 74 and nothing beats Nelson Eddie and Jeanette McDonald. Just super!,No
"Still a awesome lady I would love to meet
",No
this will always be a awesome song to listen to !!!,No
Teenage memories from the 70s.,Yes
Sometimes things you remember from years ago aren't as good in hindsight but in her case she was and always will be ridiculously hot.,Yes
I saw her once in 74 her and her band were completely covered in leather pants and coats I thought that was really bad ass and I remember she did All Shook Up however I think this song is pure teenybopper crap kind of like kiss or something,Yes
childhood memories,Yes
My first love,No
Just remembered Cruising the drag in the Drag in the 70's. Crank the music!!!!!!!,Yes
i remember when this first hit the charts...every kid in town had the hots for suzie....some of us still do....,Yes
The first single I ever bought!,No
one good classic love it,No
What a girl ! The ultimate rock chick !!,No
One of the best songs ever recorded.,No
It was fantastic. I still have a lot of my original Biba stuff.,No
"Great memories from my childhood! I was just 11, in Portugal!",Yes
cool video...like the black and white footage.,No
Never seen this video before...pretty cool.,No
great video and band.exciting stuff.still rocking today.,No
When I was sweet 16 I was a jukebox queen.,No
I love her voice ! So energic and harmonious ! And of course she is a beautiful woman ;),No
"love this song, brings back too many memories, love and miss donna\",Yes
So remember being in love with her when I saw her on Happy Days. So tough yet a tenderness about her as well. The fact thats she jams as well ws a bonus,Yes
still loves her....,No
She's irresistible. Can't help but have a crush on her.,No
One of the 70s classics,No
top draw tune from the best the 70s,No
"RIP Alvin Stardust, true rock n roll 70s style. I grew up in this era, undoubtly iconic.",Yes
"Always will be the best Glam Rocker to me. RIP Alvin, I miss you so much.",No
"I remember him well in the 70's, i was only about 7 yrs old i had this on single, R.I.P. Alvin,",Yes
RIP Alvin. So pleased I seen you earlier this year. Thanks for the memories.,Yes
another great guy from the 70s will be sadly missed,No
"Reminds me off the weekly Juniors disco back in the seventies RIP another 70's legend passes on .
",Yes
Memories of the Folkhouse Mansfield when I was a kid Disco night Friday R.i.p ALVIN.,Yes
"Rock up there Alvin, thanks for great memories R.I.P X",Yes
R.I.P Alvin you will always live on in your music,No
wish i could go back to these days massive treasured memories,Yes
brilliant song...fucking iconic,No
Ross brought me here.,No
First episode of Friends brought me here.,No
"Women, stop spoiling our fun!!!",No
I was 12 when this song came out.  Me and my friends loved to listen to this and Seasons in the Sun so we could cry.  Pre-teen drama.,Yes
"Never be the first, never be the last and never volunteer.",No
I'm really glad Ross mentioned this in friends.. it's soo great,No
You don't understand what it's like  having the name Billy,No
"I always thought the high but was a lady singing.
",No
Greeting from Ireland we loved it here......,No
My Youth .............wunderful,No
I got here from Friends!,No
"I'm only 5 years old and I like this song better than today's music.
",No
great song I was 11 when this came out...still love it now.,No
Fix that tooth.,No
I loved this song as a young teen.,No
Does he sing for the fiance? Pretty convincing voice?,No
"they got ripped off by the manager, i think, it was the time, the song true",No
one of my favourite songs and first time I seen the band.,Yes
Good memories... Cheers,Yes
OMG ,No
When did Pete calender die?,No
my dad loves this song,No
This is good homework music,No
Who was the lead singer because he was HOT.,No
Maybe you had more kids than you remember?,Yes
"wow, Im 24 and my grandfather was born in 1916  and fought in ww2, thats a real generation gap",No
"i love this song memories of being thirteen
",Yes
Another great 70's song!,No
Very nice ! Thanks for sharing,No
awesome!!,No
I love it so much :),No
And you can actually understand and hear the words,No
omg this is my school years love this song,Yes
"Not cheesy at all, its good ol performing",No
I do remember all the words!  We younger baby boomers had the greatest music ever!!!,Yes
I didn't grow up in the era and I love this song to death,No
brings back a lot of memories,Yes
Beautiful music,No
Billy don't be a hero,No
sweet memories mmmmh,Yes
I miss the 70's,Yes
"8 ppl were fools with their life. 
",No
That video was powerful love the song but the video wow,No
grates song ever made,No
Man I wish I Had a friendship like this but nope I got the betrayal and backstabbing cards,No
The best of the best!,No
"me and my older sister use to sing this song, all the time... Good memories :-)",Yes
My years growing up in a boarding school in Arizona. Good memories..,Yes
one of the best Songs on our Planet :),No
What an incredible song. Thank you Terry.,No
Seasons In The Sun....1970-2018.. so much memories and tears...,Yes
Life is so short. Listen to this when i was a kid.,No
Is this a song about suicide?!?,No
Emotions,No
I want this played at my funeral..,No
Too many memories too awsome,Yes
RIP Dad,No
I miss the old days when I was free,No
love this song,No
They are still performing !,No
no worries now billy,No
I used to listen to this LP over and over LOL...i still love them!,No
"World In Motion and Three Lions, the best England songs ever",No
"Before her time, I think",No
That's not the way it's supposed to be,No
i'm pretty sure at 2:54 he became whole and saw god.,No
The best song,No
So many troubles that I have to face,No
2017 2018,No
best one,No
I wanted to click that like button but I can't touch this..,No
was too much for me to handle,No
"One of his best songs... Wonderful voice, beautiful lyric. Unforgettable pearson :( RIP",No
What song start at 2:14,No
I sure don't want to hurt no one,No
I love that song,No
The only one I know,No
the last minute of this song is the reason why all of your favourite artists picked up a microphone,No
"Thank you Praveen, thanx Ms. Tara McCoy!",No
Why this song have so little views and likes Can somebody tell me I mean wtf,No
everyone is happy 😊☺,No
Baggy jeans and long blond hair,No
Love was ours,No
A - DOOOOO - RO !!!,No
Chris Lowe looking gorgeous as ever - what big feet!,No
loro e gli afrika bambata love for ever,No
you're not the first you now discover,No
Just relax and play,No
Im a French guy and fan of Magpies!Im planning to go to THE LAND OF THE GEORDIES!maybe on April!,No
Dedicated to my school!,No
Strong words in the staffroom,No
I can say that I'm ecstatic,No
Saw Madness at The Electric Picnic. Amazing band. Truly outstanding.,No
And kicked me out on my own,No
yesterday all my troubles... greatest yesterday today & fab4 4-ever,No
"Souvenir , souvenir ,,,voix sensuelle",No
wow what a drummer,No
"the most beautiful song of groove...thanks ""radio Lores"" vars les claux� France",No
What a honsom sexy man - I abosouletly loved him ! ,No
And I didn't know,No
Gross Point Blank.,No
How fitting today,No
Mmmmm I wonder if they were miming to that song ha.,No
"are you a alian or a star, you know who you are",No
I have sexy eyes I had this on with my bf we very close together,No
Don't want you home today,No
Plaid and trews on a Cockney...must be new romanticism.,No
I think they recorded this with a string and two tin cans.,No
i love jou,No
Perfection,No
"My favorite fast song of hers!!! I get absolutely lost on this one, dancing eyes closed!!!!",No
serious jockin,No
makes me want to grow a beard and dreaming those kinds of shite,No
"Oh, Filth brought there. Nice song.",No
lol filth...,No
Awesome song from awesome times,No
Same here - Filth .... great song isn't it? :D,No
"Filth,filth",No
FILTH!!! BROUGHT ME HERE ALSO....,No
Filth brought me here.,No
Filth,No
Muy buen tema,No
Awesome song. Made me happy.,No
he could act and what a singer great song,No
"Always loved this song, haven`t heard it for ages.",No
when your drunk time as no meaning..fuck work ..its 6.a.m .got to be up soon for work ..shit is that the time..,No
"for no logical reason I have always loved loved this song, and great, but slightly disturbing - he really shouldn't have got old - to see him in the movie last week.",No
What a fabulous song... Gary Numan was so ahead of his time!!! Love love love!!!!,No
anyone have the lyrics?,No
I swear I heard this in a Vsauce video,No
Cars,No
Didnt know that Sheldon Cooper was a singer,No
80s classic,No
cool melody,No
"The movie ""Son of Rambow"" brought me hete",No
wow my childhood! mtv? 2018,No
Test Driver 6 ♥️♥️♥️,No
Thumbs up if you're rocking this in your car!,No
Both Family Guy AND The Muppets brought me here! 😂😂😂😂😂,No
He only put in a few bars and the rest was history.,No
Love the tambourine part,No
Here in my car...,No
Remember hearing this in 1980 it was everywhere ahead of its time set the stage for the wave to come,Yes
